"","Company","User_ID","N_Prev_Ten"
"4392","Microsoft","37155083",4
"4395","Microsoft","85432061",1
"4402","Microsoft","9893328",6
"4404","Microsoft","16941583",2
"4412","Microsoft","1915321",3
"4415","Microsoft","223667636",1
"4423","Microsoft","31290249",1
"4439","Microsoft","19462556",2
"4459","Microsoft","181612999",3
"4460","Microsoft","186962124",1
"4467","Microsoft","45833916",4
"4469","Microsoft","5334764",2
"4476","Microsoft","206627681",1
"4485","Microsoft","56035920",4
"4493","Microsoft","4491408",1
"4497","Microsoft","4874361",1
"4508","Amazon","15939625",6
"4514","Microsoft","48085361",2
"4524","Microsoft","34854490",10
"4529","Microsoft","377009408",1
"4533","Microsoft","13516657",2
"4534","Microsoft","101853242",1
"4538","Microsoft","57735884",3
"4539","Microsoft","76382167",1
"4551","Microsoft","15837927",12
"4555","Microsoft","22888904",2
"4556","Microsoft","23605865",1
"4557","Amazon","23605865",2
"4558","Microsoft","138295395",1
"4564","Microsoft","31908591",1
"4568","Amazon","31908591",3
"4572","Microsoft","42198526",1
"4579","Microsoft","6816998",7
"4581","Microsoft","6240050",2
"4584","Microsoft","28683998",2
"4592","Microsoft","4257415",6
"4601","Microsoft","30746079",3
"4620","Microsoft","13673086",6
"4622","Microsoft","9757884",2
"4629","Microsoft","11463004",2
"4638","Microsoft","1644229",1
"4639","Microsoft","12792325",1
"4646","Microsoft","5957036",3
"4651","Microsoft","55498166",3
"4668","Microsoft","16434510",3
"4670","Microsoft","1300935",1
"4681","Amazon","24968175",6
"4685","Microsoft","54717591",2
"4689","Microsoft","460350",3
"4701","Microsoft","1790634",5
"4703","Microsoft","32365186",2
"4707","Microsoft","6656405",4
"4712","Microsoft","4812403",2
"4718","Microsoft","79510640",6
"4722","Microsoft","23026681",4
"4734","Microsoft","4820857",4
"4740","Microsoft","1208647",3
"4743","Amazon","108992506",3
"4752","Microsoft","97612248",3
"4759","Microsoft","194836977",1
"4768","Microsoft","13876735",4
"4771","Microsoft","22336185",3
"4776","Microsoft","250054008",3
"4810","Microsoft","134973886",3
"4812","Microsoft","177841163",1
"4814","Microsoft","24588600",2
"4817","Microsoft","248760008",1
"4825","Microsoft","3820980",1
"4832","Microsoft","35153740",5
"4841","Microsoft","2015084",6
"4858","Microsoft","1213910",4
"4871","Microsoft","6814959",8
"4877","Microsoft","17254327",6
"4879","Microsoft","94915168",1
"4884","Microsoft","6425323",3
"4913","Microsoft","134911033",10
"4938","Microsoft","572956858",6
"4941","Microsoft","1066095",1
"4975","Microsoft","25865450",2
"4980","Microsoft","29955900",3
"4982","Microsoft","1504917",2
"4986","Microsoft","1934993",1
"5010","Microsoft","66020994",2
"5015","Amazon","1227484",3
"5016","Microsoft","1227484",4
"5021","Microsoft","342596977",2
"5026","Microsoft","1088833",1
"5032","Microsoft","25775623",3
"5046","Microsoft","71937499",1
"5051","Microsoft","83578",3
"5063","Microsoft","6288934",3
"5070","Amazon","1057230",1
"5077","Microsoft","174306553",4
"5081","Microsoft","112205450",2
"5087","Microsoft","125669988",1
"5091","Microsoft","6101721",4
"5098","Microsoft","4962961",6
"5101","Microsoft","66041370",1
"5104","Google","66041370",4
"5105","Facebook","5012359",1
"5132","Microsoft","3615666",13
"5139","Microsoft","2920184",2
"5143","Microsoft","145655",4
"5146","Microsoft","14095243",2
"5150","Microsoft","5443252",4
"5154","Microsoft","164788516",4
"5165","Microsoft","11874860",1
"5181","Microsoft","113927895",4
"5185","Microsoft","7741783",4
"5188","Microsoft","34442825",3
"5193","Apple","98842972",1
"5199","Microsoft","18078646",2
"5202","Microsoft","66462014",1
"5204","Microsoft","52507960",2
"5207","Microsoft","5002771",3
"5210","Microsoft","114100057",1
"5215","Microsoft","2385334",3
"5221","Microsoft","4352738",2
"5222","Microsoft","4352738",3
"5226","Microsoft","242998095",2
"5233","Microsoft","31571846",6
"5239","Microsoft","6031016",1
"5244","Microsoft","420182",3
"5260","Microsoft","4457494",6
"5263","Microsoft","92217668",1
"5268","Microsoft","21701999",1
"5269","Amazon","21701999",2
"5278","Microsoft","1649660",4
"5286","Microsoft","3604947",2
"5294","Microsoft","5358264",1
"5296","Amazon","2627849",1
"5309","Microsoft","114607975",4
"5313","Microsoft","13128286",4
"5314","Amazon","13128286",5
"5336","Apple","5863266",8
"5352","Microsoft","22826280",3
"5355","Microsoft","171155570",2
"5356","Microsoft","171155570",3
"5359","Amazon","171155570",6
"5362","Microsoft","74083242",3
"5396","Microsoft","10741877",8
"5406","Microsoft","197736",5
"5411","Microsoft","23248771",2
"5415","Microsoft","27817149",1
"5428","Microsoft","15632054",2
"5434","Microsoft","1354460",1
"5443","Microsoft","16837035",2
"5447","Microsoft","178794083",2
"5449","Amazon","190734568",1
"5454","Microsoft","179716636",1
"5458","Microsoft","166890938",1
"5465","Microsoft","7104899",5
"5474","Microsoft","7038243",5
"5476","Microsoft","81994227",2
"5480","Google","60636115",4
"5481","Microsoft","60636115",5
"5489","Microsoft","4575073",4
"5493","Microsoft","2416382",1
"5494","Amazon","2416382",2
"5497","Microsoft","179946682",3
"5502","Microsoft","24748285",1
"5507","Microsoft","28485612",5
"5515","Microsoft","49334859",2
"5519","Microsoft","59451805",2
"5523","Microsoft","21345503",3
"5525","Microsoft","20370250",2
"5528","Microsoft","120630457",3
"5538","Microsoft","135962246",4
"5545","Apple","1489817",1
"5549","Microsoft","18804132",2
"5559","Microsoft","13268997",1
"5561","Microsoft","5609715",1
"5567","Microsoft","11759483",2
"5574","Microsoft","116091078",1
"5580","Microsoft","29277654",3
"5590","Microsoft","6084625",3
"5595","Amazon","11723422",1
"5596","Microsoft","30657839",1
"5602","Microsoft","43750525",6
"5609","Microsoft","4190501",4
"5612","Amazon","4190501",7
"5614","Microsoft","261822587",2
"5616","Microsoft","261822587",4
"5619","Microsoft","1702842",2
"5628","Microsoft","15615882",2
"5630","Microsoft","15548675",1
"5633","Amazon","15548675",4
"5639","Microsoft","76415966",3
"5643","Microsoft","49057595",4
"5652","Microsoft","224108818",1
"5657","Microsoft","164262792",4
"5658","Microsoft","164262792",5
"5659","Microsoft","240900980",1
"5662","Microsoft","39548555",2
"5671","Microsoft","111445117",1
"5676","Microsoft","3477055",5
"5677","Microsoft","3477055",6
"5684","Microsoft","77242276",3
"5687","Microsoft","236739537",3
"5690","Microsoft","14858431",2
"5701","Microsoft","228099153",5
"5703","Microsoft","54901946",1
"5712","Microsoft","49907355",2
"5714","Microsoft","143321977",2
"5717","Microsoft","16773039",3
"5724","Microsoft","1001664",3
"5727","Microsoft","11781556",2
"5744","Microsoft","53760016",4
"5764","Microsoft","250756706",1
"5766","Microsoft","673263",1
